Level 1,Level 1 Description,Level 2,.,Level 3 ,Level 3 Description,Level 4,Level 4 Description,Full level 4 code,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,18,Spice crop seeds & seedlings,05,Coriander seeds or seedlings,10151805,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,18,Spice crop seeds & seedlings,06,Ginger seeds or seedlings,10151806,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,18,Spice crop seeds & seedlings,07,Saffron seeds or seedlings,10151807,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,18,Spice crop seeds & seedlings,08,Thyme seeds or seedlings,10151808,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,18,Spice crop seeds & seedlings,09,Curry seeds or seedlings,10151809,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,18,Spice crop seeds & seedlings,10,Mustard seeds or seedlings,10151810,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,18,Spice crop seeds & seedlings,11,Ginseng roots or seedlings,10151811,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,19,Flower seeds & bulbs & seedlings & cuttings,01,Tulip seeds or bulbs or seedlings or cuttings,10151901,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,19,Flower seeds & bulbs & seedlings & cuttings,02,Rose seeds or seedlings or cuttings,10151902,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,19,Flower seeds & bulbs & seedlings & cuttings,03,Daffodil seeds or bulbs or seedlings or cuttings,10151903,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,19,Flower seeds & bulbs & seedlings & cuttings,04,Sunflower seeds,10151904,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,19,Flower seeds & bulbs & seedlings & cuttings,05,Hyacinth bulbs or shoots,10151905,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,19,Flower seeds & bulbs & seedlings & cuttings,06,Lily Bulbs,10151906,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,19,Flower seeds & bulbs & seedlings & cuttings,07,Vetch seeds or seedlings,10151907,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,20,Tree & shrub seeds & cuttings,01,Fruit tree seeds or cuttings,10152001,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,20,Tree & shrub seeds & cuttings,02,Conifer tree seeds or cuttings,10152002,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,20,Tree & shrub seeds & cuttings,03,Nut tree seeds or cuttings,10152003,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,21,Residues other than animal feed,01,Residues babool seed extraction,10152101,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,21,Residues other than animal feed,02,Residues of rape seeds,10152102,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,21,Residues other than animal feed,03,Residue of linseed,10152103,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,21,Residues other than animal feed,04,Oil cake of neem,10152104,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,22,Fibrous crop seeds & seedlings,01,Cotton seeds or seedlings,10152201,,
10,Live Plant & Animal Material & Accessories & Supplies,15,Seeds & bulbs & seedlings & cuttings,22,Fibrous crop seeds & seedlings,02,Flax seeds or seedlings,10152202,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,15,Trees & shrubs,01,Olive trees,10161501,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,15,Trees & shrubs,02,Coffee shrubs,10161502,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,15,Trees & shrubs,03,Cocoa trees,10161503,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,15,Trees & shrubs,04,Apple trees,10161504,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,15,Trees & shrubs,05,Peach trees,10161505,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,15,Trees & shrubs,06,Orange trees,10161506,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,15,Trees & shrubs,07,Rhododendron shrubs,10161507,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,15,Trees & shrubs,08,Tea shrubs,10161508,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,15,Trees & shrubs,09,Conifer trees,10161509,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,15,Trees & shrubs,10,Spruce trees,10161510,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,15,Trees & shrubs,11,Pine trees,10161511,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,15,Trees & shrubs,12,Fir trees,10161512,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,16,Floral plants,01,Rose plants,10161601,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,16,Floral plants,02,Poinsettias plants,10161602,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,16,Floral plants,03,Orchids plants,10161603,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,16,Floral plants,04,Azaleas plants,10161604,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,16,Floral plants,05,Cactus plants,10161605,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,17,Cut flowers,01,Cut gladiolus,10161701,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,17,Cut flowers,02,Cut lilies,10161702,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,17,Cut flowers,03,Cut carnations,10161703,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,17,Cut flowers,04,Cut tulips,10161704,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,17,Cut flowers,05,Cut roses,10161705,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,17,Cut flowers,07,Cut flower arrangement,10161707,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,18,Non flowering plants,01,Ferns,10161801,,
10,Live Plant & Animal Material & Accessories & Supplies,16,Floriculture & silviculture products,18,Non flowering plants,02,Ivies,10161802,,
